,,,,,,,
,,,,,,,
卡片名稱 (編號),建議 數量,發球,攔網,接球,托球,攻擊,此牌組中的核心原則/定位
孤爪 研磨(HV-D02-001),4,1,2,1,1,0,牌組的「大腦」。支付Guts來強化托球，並在對手回合持續弱化對方的攻擊手，是音駒防守反擊戰術的起點。
黑尾 鐵朗(HV-D02-002),4,1,3,1,0,2,牌組的「防守核心」與「主要得分手」。支付Guts後，只要攔網成功就能觸發【ドシャット(5)】，直接將防守轉化為5點的強力反擊。
夜久 衛輔(HV-D02-003),2,-,-,5,0,0,隊伍的「守護神」。擁有極高的基礎接球點數，技能還能再+2（總計7點），是接球區最信賴的防線，能穩定接下對手的強力發球或攻擊。
灰羽 列夫(HV-D02-004),4,1,2,1,0,3,奇襲攔網者。在對手意想不到的時機（自己的攻擊角色登場時），可以從攻擊區「瞬移」到攔網區，打亂對手的攻擊節奏或增加攔網人數。
海 信行 (HV-D02-005),2,1,2,5,0,2,穩定的全能型選手。擁有和自由人一樣高的5點接球，同時具備2點攔網和2點攻擊，是填補任何防守空缺的最佳人選。
山本 猛虎(HV-D02-006),4,5,2,2,0,3,隊伍的「王牌攻擊手」。擁有5點的高額發球，以及3點的攻擊力，是發球和攻擊階段的主要火力來源。
福永 招平(HV-D02-007),4,1,0,4,1,3,靈活的攻擊手。接球能力不俗（4點），同時也有3點攻擊力，甚至能擔任托球（1點），是隊伍中的潤滑劑。
犬岡 走 (HV-D02-008),4,2,3,3,0,3,攻守兼備的攔網者。所有數值都在平均水準之上（攔網3、接球3、攻擊3），讓他無論在攔網區還是攻擊區都很有威脅性。
芝山 優生(HV-D02-009),2,-,-,5,0,0,資源補充型自由人。基礎接球點數高達5點，登場技能支付Guts後可以抽1張卡，能用Guts交換手牌資源，保持戰術靈活性。
手白 球彥(HV-D02-010),2,4,1,4,1,0,穩定的第二舉球員。沒有技能，但發球和接球點數都很高（4點），是研磨之外的可靠舉球員選擇，防守能力更強。
卡片名稱 (編號),建議數量,可用階段,此牌組中的核心原則/定位,,,,
手は前っつったでしょう ノブカツくん (HV-D02-011),4,攔網階段 接球階段,防守強化與過牌。能抽1張卡 (不虧手牌)，並在關鍵時刻強化「黑尾」的攔網點數或任一角色的接球點數，確保防守成功。,,,,
物理攻撃でブッ倒ればいいんだよね (HV-D02-012),4,抽牌階段,關鍵攻擊手檢索。在抽牌階段使用，能抽1張卡，還能從牌庫頂3張精準找出「灰羽列夫」或「犬岡走」，確保後續的攻擊火力或攔網奇襲。,,,,