School,卡片類型,卡片編號,卡片名稱,稀有度,時機點,發球,攔網,接球,托球,攻擊,完整技能,注釋
青葉城西,EVENT,HV-P01-085,入畑 伸照,N,抽牌,-,-,-,-,-,技能：抽1張卡。 若從自己的場上支付合計8點Guts則可使用。 這個回合中，自己的<青葉城西>角色登場時，將該角色任意1個點數+1。,
青葉城西,EVENT,HV-P01-086,"指揮者""が代われば""音""が変わる",R,"抽牌,接球",-,-,-,-,-,技能：從自己的棄牌區將1枚<青葉城西>的角色卡加入手牌。,
青葉城西,EVENT,HV-P01-087,俺も思った☆,N,"發球,舉球",-,-,-,-,-,技能：當自己的發球角色或托球角色是「及川 徹」時可以使用。 抽1張卡， 並將自己1名「及川 徹」角色的托球點數+1。 此外，在下一個對手的回合中，對手每次以「抽卡」以外的方式將卡片加入手牌時，對手必須從手牌棄掉1張卡。,
青葉城西,EVENT,HV-P01-088,お前達は 強いよ,N,接球,-,-,-,-,-,技能：抽最多1張卡。 選擇自己1名<青葉城西>的角色，其接球點數+1。 若自己的手牌在3枚以下，則其接球點數再+1。,
烏野,EVENT,HV-D01-011,バレーは!!! 常に上を向くスポーツだ (排球是!!! 永遠向上看的運動),D,接球,-,-,-,-,-,[抽1張卡，自己的1名角色的接球點數+1。該角色的接球點數為4以下的場合，再+1。,
烏野,EVENT,HV-D01-012,ブロード攻撃 (Broad Attack / 廣域攻擊),D,攻擊,-,-,-,-,-,抽1張卡，自己的1名烏野角色的攻擊點數+1。自己的舉球角色為「影山飛雄」且攻擊角色為「日向翔陽」的場合，下個對手回合中，對手最多只能登場1名攔網角色。,
烏野,EVENT,HV-P01-074,烏養 一繋,N,攻擊,-,-,-,-,-,抽 1 張卡，自己的 1 名角色的攻擊點數+1。若對手的事件區中，可在 [=抽牌] 或 [=接球] 階段使用的卡片合計 5 張以上，則攻擊點數再+2。,
烏野,EVENT,HV-P01-075,清水 潔子,N,"接球, 攻擊",-,-,-,-,-,自己的 1 名烏野角色的 1 項參數+1，若在接球階段中，則抽 1 張卡。,
烏野,EVENT,HV-P01-076,加油,N,抽牌,-,-,-,-,-,自己的手牌在 4 張以下時，從自己的 1 個區域，將 2 張相同所屬的 Guts 加入手牌。,
烏野,EVENT,HV-P01-077,拼命向前衝,N,"接球, 回合1",-,-,-,-,-,自己的 1 名烏野接球角色的接球點數+2，若該角色為「西谷 夕」，則抽 1 張卡。,回合1……在這個回合中，使自己場上與這張卡同名的卡片之技能無效。
烏野,EVENT,HV-P01-078,開放式進攻,S,攻擊,-,-,-,-,-,抽 2 張卡，從自己的手牌丟棄 1 張卡。若自己的事件區中的「開放式進攻」在 2 張以下，則從自己的棄牌區將 1 張「日向 翔陽」登場到攻擊區，並使該角色的攻擊點數+1。,
烏野,EVENT,HV-P01-078,開放式進攻,SP,攻擊,-,-,-,-,-,抽 2 張卡，從自己的手牌丟棄 1 張卡。若自己的事件區中的「開放式進攻」在 2 張以下，則從自己的棄牌區將 1 張「日向 翔陽」登場到攻擊區，並使該角色的攻擊點數+1。,
烏野,EVENT,HV-P01-079,我可沒有 1mm 認為光靠我一人就能獲勝,N,攔網,-,-,-,-,-,抽 1 張卡，自己的 1 名烏野攔網角色的攔網點數+1。若該角色為「月島 螢」，則從自己的發球區將最多 1 名「山口 忠」角色加入手牌，在下一個對手的回合中，對方的接球角色每登場 1 次，該角色的接球點數-2。,
烏野,EVENT,HV-P01-079,我可沒有 1mm 認為光靠我一人就能獲勝,NP,攔網,-,-,-,-,-,抽 1 張卡，自己的 1 名烏野攔網角色的攔網點數+1。若該角色為「月島 螢」，則從自己的發球區將最多 1 名「山口 忠」角色加入手牌，在下一個對手的回合中，對方的接球角色每登場 1 次，該角色的接球點數-2。,
音駒,EVENT,HV-D02-011,手は前っつったでしょう ノブカツくん (我不是說了手要往前嗎，信勝同學),D,"攔網, 接球",-,-,-,-,-,"抽1張卡。從以下選擇1個使用。 ▶將自己1位攔網角色的「黑尾 鐵朗」的攔網點數+1。 ▶將自己1位角色的接球點數+1。",
音駒,EVENT,HV-D02-012,物理攻撃でブッ倒ればいいんだよね (用物理攻擊打倒就好了吧),D,抽牌,-,-,-,-,-,抽1張卡。查看自己牌庫頂3張卡，將其中最多1張「灰羽 列夫」或「犬岡 走」公開並加入手牌。未加入的卡片以喜歡的順序放回牌庫底。,
音駒,EVENT,HV-P01-080,猫又 育史,N,接球,-,-,-,-,-,抽1張卡，自己的1名角色的接球點數+1。若對手的事件區域中，可於[托球]或[攻擊]時機發動的卡片合計有5張以上，則接球點數再+2。,-
音駒,EVENT,HV-P01-081,山本 あかね,N,攻擊,-,-,-,-,-,抽1張卡，自己的1名音駒角色的攻擊點數+1。若自己所有角色皆為音駒，可從自己的接球區域支付3點毅力(Guts)使用。攻擊點數再+1。,-
音駒,EVENT,HV-P01-082,"これが""繋ぐ""ということだ",S,接球,-,-,-,-,-,"抽1張卡。可選擇以下1個效果發動。▶自己的1名音駒角色的接球點數+1。▶將自己1名接球點數為5以上的音駒角色的接球點數變為7。",-
音駒,EVENT,HV-P01-083,1stテンポの同時多発位置差攻撃,R,攻擊,-,-,-,-,-,抽1張卡。若自己所有角色皆為音駒，可從自己的場上支付合計5點毅力(Guts)使用。自己的1名角色的攻擊點數+3。,-
音駒,EVENT,HV-P01-084,"""助走""は 翔陽の翼だね",N,舉球,-,-,-,-,-,僅當自己的托球角色為「孤爪 研磨」時可使用。抽1張卡，自己的1名托球角色的托球點數+1。此外，下一個對手回合中，對手無法從手牌將MB的攻擊角色登場。,-
梟谷,EVENT,HV-P01-089,闇路 建行,N,"抽牌, 接球",-,-,-,-,-,查看自己牌組上方的3張卡，將其中最多1枚<梟谷>的卡片公開並加入手牌。 將未加入手牌的卡片以任意順序放回牌組最下方。,
梟谷,EVENT,HV-P01-090,"""その瞬間""が有るか、無いかだ",S,攻擊,-,-,-,-,-,抽一張卡，讓自己的一名梟谷角色攻擊點數+1。如果自己所有角色都是梟谷角色，在對手的下一個回合中，當對手失敗時，抽牌使你的手牌數量達到7張。,在自己所有角色都是梟谷的情況下，打出這張卡後的「下一個對手的回合」中，對手在使用完 HV-P01-035「岩泉 一」的技能後宣告了 Lost。此時能否因這張卡的效果抽牌？可以。因為在宣告 Lost 的那個時間點，已經不屬於任何一方的回合，所以依照這張卡的效果，可以抽牌。
梟谷,EVENT,HV-P01-091,音駒の専売特許じゃねえぞ！,R,接球,-,-,-,-,-,抽1張卡， 將自己1名<梟谷>角色的接球點數+1。 若從自己的攔網區域棄掉1枚<梟谷>的角色卡則可使用，將對手的攻擊的進攻點數-1。